Date,Open,High,Low,Close,Adj Close,Volume
2022-03-07,60.830002,62.560001,55.330002,55.580002,55.580002,121577000
2022-03-14,55.090000,65.970001,51.849998,65.769997,65.769997,155823900
2022-03-21,65.139999,68.230003,62.610001,64.510002,64.510002,113147100
2022-03-28,65.419998,72.004997,64.519997,67.540001,67.540001,111001900
2022-04-04,68.220001,70.839996,60.419998,60.650002,60.650002,117540300
2022-04-11,59.310001,63.250000,58.160000,58.990002,58.990002,88056600
2022-04-18,58.570000,60.419998,52.119999,52.459999,52.459999,105991400
2022-04-25,52.040001,54.619999,45.889999,47.130001,47.130001,139653200
2022-05-02,47.000000,52.709999,43.990002,45.630001,45.630001,188770000
2022-05-09,44.119999,44.974998,35.099998,43.599998,43.599998,316371700
2022-05-16,43.209999,44.450001,39.980000,42.410000,42.410000,204736700
2022-05-23,42.540001,45.439999,38.619999,45.410000,45.410000,159303700
2022-05-30,45.590000,46.080002,41.779999,43.160000,43.160000,127059300
2022-06-06,44.439999,46.939999,39.820000,40.110001,40.110001,140152700
2022-06-13,37.759998,40.080002,35.650002,38.799999,38.799999,175960600
2022-06-20,39.930000,45.990002,39.349998,45.830002,45.830002,130006400
2022-06-27,45.825001,46.270000,39.110001,41.220001,41.220001,131355900
2022-07-04,40.570000,48.119999,39.840000,46.860001,46.860001,124597800
2022-07-11,46.180000,46.490002,42.200001,44.110001,44.110001,127039500
2022-07-18,45.250000,49.340000,43.439999,46.250000,46.250000,128263200
2022-07-25,45.939999,46.900002,43.410999,45.130001,45.130001,100983900
2022-08-01,44.490002,51.150002,44.014999,50.070000,50.070000,111208800
2022-08-08,50.470001,53.860001,47.380001,52.009998,52.009998,131373500
2022-08-15,51.549999,52.669998,44.490002,44.689999,44.689999,112168500
2022-08-22,43.959999,45.779999,42.730000,42.840000,42.840000,106342600
2022-08-29,41.900002,43.400002,39.790001,40.590000,40.590000,119554300
2022-09-05,40.740002,44.810001,39.490002,44.599998,44.599998,78603100
2022-09-12,44.919998,45.680000,41.860001,42.580002,42.580002,126035000
2022-09-19,42.009998,42.779999,37.090000,37.830002,37.830002,116442400
2022-09-26,37.779999,40.259998,37.330002,37.730000,37.730000,119577700
2022-10-03,38.000000,40.969002,36.820000,37.529999,37.529999,124168600
2022-10-10,37.599998,37.599998,33.740002,33.990002,33.990002,128452900
2022-10-17,35.419998,38.360001,34.290001,35.880001,35.880001,123919300
2022-10-24,35.634998,39.498001,34.055000,38.889999,38.889999,127457300
2022-10-31,38.549999,39.750000,34.320000,35.220001,35.220001,118833400
2022-11-07,35.540001,40.930000,32.509998,40.400002,40.400002,173598200
2022-11-14,39.799999,41.290001,36.209999,36.560001,36.560001,128826100
2022-11-21,36.160000,36.529999,34.270000,36.000000,36.000000,78141900
2022-11-28,35.598000,38.310001,34.681999,38.160000,38.160000,115176600
2022-12-05,37.630001,38.180000,33.849998,34.650002,34.650002,111710700
2022-12-12,34.380001,38.375000,32.674999,33.259998,33.259998,137467200
2022-12-19,33.110001,33.259998,30.590000,30.969999,30.969999,103924200
2022-12-26,30.510000,31.389999,29.430000,31.240000,31.240000,84573400
2023-01-02,31.840000,32.150002,30.020000,31.370001,31.370001,89075800
2023-01-09,32.430000,36.020000,32.020000,35.990002,35.990002,120690800
2023-01-16,36.220001,38.009998,34.435001,36.500000,36.500000,98017200
2023-01-23,36.680000,40.689999,35.680000,40.389999,40.389999,132985700
2023-01-30,39.700001,45.459999,38.463001,42.849998,42.849998,187700900
2023-02-06,42.202000,43.549999,38.730000,39.150002,39.150002,149648100
2023-02-13,39.279999,43.759998,38.570000,41.860001,41.860001,176961800
2023-02-20,40.570000,41.255001,38.049999,38.439999,38.439999,132950100
2023-02-27,39.139999,40.705002,37.619999,40.459999,40.459999,107240100
2023-03-06,40.669998,40.980000,35.270000,36.020000,36.020000,150931900
2023-03-13,35.599998,39.485001,34.810001,38.680000,38.680000,184727500
2023-03-20,38.610001,40.509998,37.021000,37.730000,37.730000,139331500
2023-03-27,38.330002,40.445000,36.959999,40.340000,40.340000,93366500
2023-04-03,39.779999,40.020000,37.180000,38.570000,38.570000,69422300
2023-04-10,37.910000,39.840000,37.549999,37.650002,37.650002,50528100
